epoch,step,train_loss,train_acc,val_acc,psi1,psi2,psi3,psi4
1,0,3.078059,0.00,,4.338602e-04,-3.630976e-05,-1.333358e-06,5.329071e-03
1,20,1.578045,35.42,,-8.565066e-05,1.309843e-05,-1.753049e-05,0.000000e+00
1,40,1.062186,51.68,,-3.972395e-04,7.549805e-05,1.478943e-06,0.000000e+00
1,EPOCH_END,1.596829,55.11,6.03,,,,
2,0,0.713706,81.25,,1.823389e-04,4.154343e-05,5.501653e-06,0.000000e+00
2,20,0.224084,89.58,,1.144107e-03,8.067826e-04,1.558659e-04,0.000000e+00
2,40,0.084977,91.62,,-2.987365e-03,-1.774235e-03,-3.245617e-03,0.000000e+00
2,EPOCH_END,0.289282,91.42,17.09,,,,
3,0,0.282788,93.75,,9.511154e-04,-4.049796e-03,-2.862821e-04,5.329071e-03
3,20,0.044626,95.24,,4.806569e-03,-6.600693e-04,7.634141e-03,-5.329071e-03
3,40,0.278534,95.58,,4.919269e-03,-8.594981e-03,2.775279e-03,2.664535e-03
3,EPOCH_END,0.146493,95.59,53.77,,,,
4,0,0.020563,100.00,,4.642561e-02,-9.565626e-03,3.510653e-04,-5.329071e-03
4,20,0.024261,98.81,,-1.498878e-02,5.223433e-04,6.442591e-03,0.000000e+00
4,40,0.023771,98.63,,-1.011966e-02,-4.940370e-03,4.183181e-03,1.199041e-02
4,EPOCH_END,0.052627,98.49,68.34,,,,
5,0,0.006462,100.00,,-4.957643e-03,-8.771764e-03,8.719540e-03,-6.661338e-03
5,20,0.021671,99.40,,-3.538390e-02,-6.193656e-03,1.400215e-04,-9.325873e-03
5,40,0.041460,99.24,,1.012273e-03,-9.232806e-04,5.027063e-04,1.134509e-03
5,EPOCH_END,0.028260,99.12,78.89,,,,
6,0,0.149280,93.75,,-4.232590e-04,-6.002731e-04,-8.474277e-04,-3.289036e-03
6,20,0.023103,97.62,,-6.851336e-04,-8.845512e-04,4.365886e-04,0.000000e+00
6,40,0.088977,98.02,,1.272554e-04,8.903625e-04,-1.620746e-03,3.663736e-03
6,EPOCH_END,0.043350,98.23,86.43,,,,
7,0,0.230279,87.50,,1.040133e-05,-1.119408e-05,-1.613021e-05,-6.661338e-04
7,20,0.083079,97.62,,-5.719390e-03,-5.865475e-03,4.828019e-02,-2.456368e-02
7,40,0.169058,97.56,,-4.065076e-06,-3.149468e-05,6.346036e-06,2.907830e-04
7,EPOCH_END,0.067378,97.48,84.42,,,,
8,0,0.042276,100.00,,2.724348e-03,-3.586753e-03,-3.706864e-03,-3.289036e-03
8,20,0.230503,97.02,,-9.871894e-07,-2.733504e-05,-3.922189e-05,2.075163e-04
8,40,0.037585,96.19,,7.790604e-04,-1.616679e-03,1.638868e-04,2.914335e-04
8,EPOCH_END,0.128399,96.22,86.93,,,,
9,0,0.024009,100.00,,9.314169e-05,1.168403e-04,3.266110e-04,-1.025222e-03
9,20,0.403417,97.62,,3.055263e-08,-5.111722e-07,1.719574e-07,2.289733e-04
9,40,0.009105,98.48,,-1.431186e-05,-7.005013e-05,-2.544345e-04,6.943664e-03
9,EPOCH_END,0.048196,98.49,82.41,,,,
10,0,0.259596,93.75,,2.084403e-06,-2.414186e-05,-8.353959e-07,2.498002e-04
10,20,0.002500,97.62,,-1.013337e-06,-8.987701e-07,-6.729971e-07,1.040631e-04
10,40,0.003876,98.78,,2.575730e-05,-2.191910e-04,5.529419e-04,-5.204170e-04
10,EPOCH_END,0.037866,98.61,87.94,,,,
11,0,0.020868,100.00,,2.070588e-05,-4.867663e-05,3.980158e-06,-2.914335e-04
11,20,0.016055,99.11,,-2.684584e-06,-3.963727e-05,-4.284549e-05,8.326673e-05
11,40,0.000229,98.48,,2.336852e-08,-1.159554e-07,-1.762784e-07,4.163336e-04
11,EPOCH_END,0.040671,98.49,86.93,,,,
12,0,0.092548,93.75,,2.032302e-08,-6.472857e-06,-4.768003e-06,-6.245005e-05
12,20,0.398699,97.92,,-1.583564e-05,-1.991869e-05,2.834317e-05,2.491497e-04
12,40,0.242804,98.02,,4.030726e-06,-4.347755e-06,-2.336171e-06,-4.162523e-04
12,EPOCH_END,0.048526,98.23,83.42,,,,
13,0,0.379464,87.50,,1.589534e-02,-7.702434e-03,-3.935534e-02,2.464695e-02
13,20,0.003301,98.21,,-5.444505e-03,-3.904169e-03,2.534227e-04,-1.294798e-02
13,40,0.093075,98.32,,1.052939e-02,4.470665e-03,1.058280e-02,-6.661338e-04
13,EPOCH_END,0.065812,98.23,89.95,,,,
14,0,0.010696,100.00,,-1.928159e-05,1.427874e-04,-8.176285e-04,-5.204170e-05
14,20,0.000868,98.51,,-1.420447e-06,-3.718746e-06,5.127601e-06,2.081668e-04
